test_case,run,latency_sec,status_code,response
Fake_1,1,0.08115816116333008,200,{'label': 'FAKE'}
Fake_1,2,0.05686211585998535,200,{'label': 'FAKE'}
Fake_1,3,0.06261301040649414,200,{'label': 'FAKE'}
Fake_1,4,0.0731651782989502,200,{'label': 'FAKE'}
Fake_1,5,0.16064214706420898,200,{'label': 'FAKE'}
Fake_1,6,0.05554699897766113,200,{'label': 'FAKE'}
Fake_1,7,0.0527496337890625,200,{'label': 'FAKE'}
Fake_1,8,0.06322526931762695,200,{'label': 'FAKE'}
Fake_1,9,0.056732177734375,200,{'label': 'FAKE'}
Fake_1,10,0.05644679069519043,200,{'label': 'FAKE'}
Fake_1,11,0.08952188491821289,200,{'label': 'FAKE'}
Fake_1,12,0.08361005783081055,200,{'label': 'FAKE'}
Fake_1,13,0.05303215980529785,200,{'label': 'FAKE'}
Fake_1,14,0.05128669738769531,200,{'label': 'FAKE'}
Fake_1,15,0.05095815658569336,200,{'label': 'FAKE'}
Fake_1,16,0.05071902275085449,200,{'label': 'FAKE'}
Fake_1,17,0.05125617980957031,200,{'label': 'FAKE'}
Fake_1,18,0.051255226135253906,200,{'label': 'FAKE'}
Fake_1,19,0.051377058029174805,200,{'label': 'FAKE'}
Fake_1,20,0.059515953063964844,200,{'label': 'FAKE'}
Fake_1,21,0.05184507369995117,200,{'label': 'FAKE'}
Fake_1,22,0.05102276802062988,200,{'label': 'FAKE'}
Fake_1,23,0.05063772201538086,200,{'label': 'FAKE'}
Fake_1,24,0.05188298225402832,200,{'label': 'FAKE'}
Fake_1,25,0.05197310447692871,200,{'label': 'FAKE'}
Fake_1,26,0.052187204360961914,200,{'label': 'FAKE'}
Fake_1,27,0.05322527885437012,200,{'label': 'FAKE'}
Fake_1,28,0.052346229553222656,200,{'label': 'FAKE'}
Fake_1,29,0.05041098594665527,200,{'label': 'FAKE'}
Fake_1,30,0.05107593536376953,200,{'label': 'FAKE'}
Fake_1,31,0.0559382438659668,200,{'label': 'FAKE'}
Fake_1,32,0.0518651008605957,200,{'label': 'FAKE'}
Fake_1,33,0.05279684066772461,200,{'label': 'FAKE'}
Fake_1,34,0.05281519889831543,200,{'label': 'FAKE'}
Fake_1,35,0.05150008201599121,200,{'label': 'FAKE'}
Fake_1,36,0.05330300331115723,200,{'label': 'FAKE'}
Fake_1,37,0.056487083435058594,200,{'label': 'FAKE'}
Fake_1,38,0.05304908752441406,200,{'label': 'FAKE'}
Fake_1,39,0.05448198318481445,200,{'label': 'FAKE'}
Fake_1,40,0.05121326446533203,200,{'label': 'FAKE'}
Fake_1,41,0.05354022979736328,200,{'label': 'FAKE'}
Fake_1,42,0.05010700225830078,200,{'label': 'FAKE'}
Fake_1,43,0.051455020904541016,200,{'label': 'FAKE'}
Fake_1,44,0.05303764343261719,200,{'label': 'FAKE'}
Fake_1,45,0.05165290832519531,200,{'label': 'FAKE'}
Fake_1,46,0.051953792572021484,200,{'label': 'FAKE'}
Fake_1,47,0.05080699920654297,200,{'label': 'FAKE'}
Fake_1,48,0.0500950813293457,200,{'label': 'FAKE'}
Fake_1,49,0.049987077713012695,200,{'label': 'FAKE'}
Fake_1,50,0.050766944885253906,200,{'label': 'FAKE'}
Fake_1,51,0.05173468589782715,200,{'label': 'FAKE'}
Fake_1,52,0.05223822593688965,200,{'label': 'FAKE'}
Fake_1,53,0.05048823356628418,200,{'label': 'FAKE'}
Fake_1,54,0.05190706253051758,200,{'label': 'FAKE'}
Fake_1,55,0.10319018363952637,200,{'label': 'FAKE'}
Fake_1,56,0.12675809860229492,200,{'label': 'FAKE'}
Fake_1,57,0.055782318115234375,200,{'label': 'FAKE'}
Fake_1,58,0.05222177505493164,200,{'label': 'FAKE'}
Fake_1,59,0.05333876609802246,200,{'label': 'FAKE'}
Fake_1,60,0.05276083946228027,200,{'label': 'FAKE'}
Fake_1,61,0.051503896713256836,200,{'label': 'FAKE'}
Fake_1,62,0.0519108772277832,200,{'label': 'FAKE'}
Fake_1,63,0.0553281307220459,200,{'label': 'FAKE'}
Fake_1,64,0.05658221244812012,200,{'label': 'FAKE'}
Fake_1,65,0.05286598205566406,200,{'label': 'FAKE'}
Fake_1,66,0.05192089080810547,200,{'label': 'FAKE'}
Fake_1,67,0.05684399604797363,200,{'label': 'FAKE'}
Fake_1,68,0.05099296569824219,200,{'label': 'FAKE'}
Fake_1,69,0.051370859146118164,200,{'label': 'FAKE'}
Fake_1,70,0.051850080490112305,200,{'label': 'FAKE'}
Fake_1,71,0.05431008338928223,200,{'label': 'FAKE'}
Fake_1,72,0.051238059997558594,200,{'label': 'FAKE'}
Fake_1,73,0.053483009338378906,200,{'label': 'FAKE'}
Fake_1,74,0.05236005783081055,200,{'label': 'FAKE'}
Fake_1,75,0.050585031509399414,200,{'label': 'FAKE'}
Fake_1,76,0.05094289779663086,200,{'label': 'FAKE'}
Fake_1,77,0.0527501106262207,200,{'label': 'FAKE'}
Fake_1,78,0.051535844802856445,200,{'label': 'FAKE'}
Fake_1,79,0.05335807800292969,200,{'label': 'FAKE'}
Fake_1,80,0.05075812339782715,200,{'label': 'FAKE'}
Fake_1,81,0.054750919342041016,200,{'label': 'FAKE'}
Fake_1,82,0.05161404609680176,200,{'label': 'FAKE'}
Fake_1,83,0.050965070724487305,200,{'label': 'FAKE'}
Fake_1,84,0.05104994773864746,200,{'label': 'FAKE'}
Fake_1,85,0.052803993225097656,200,{'label': 'FAKE'}
Fake_1,86,0.05408120155334473,200,{'label': 'FAKE'}
Fake_1,87,0.05102419853210449,200,{'label': 'FAKE'}
Fake_1,88,0.050642967224121094,200,{'label': 'FAKE'}
Fake_1,89,0.050866127014160156,200,{'label': 'FAKE'}
Fake_1,90,0.05095982551574707,200,{'label': 'FAKE'}
Fake_1,91,0.0575411319732666,200,{'label': 'FAKE'}
Fake_1,92,0.052217960357666016,200,{'label': 'FAKE'}
Fake_1,93,0.0512700080871582,200,{'label': 'FAKE'}
Fake_1,94,0.07904410362243652,200,{'label': 'FAKE'}
Fake_1,95,0.059784889221191406,200,{'label': 'FAKE'}
Fake_1,96,0.051016807556152344,200,{'label': 'FAKE'}
Fake_1,97,0.050924062728881836,200,{'label': 'FAKE'}
Fake_1,98,0.04994606971740723,200,{'label': 'FAKE'}
Fake_1,99,0.05032706260681152,200,{'label': 'FAKE'}
Fake_1,100,0.050875186920166016,200,{'label': 'FAKE'}
Fake_2,1,0.04998922348022461,200,{'label': 'REAL'}
Fake_2,2,0.05038285255432129,200,{'label': 'REAL'}
Fake_2,3,0.05050182342529297,200,{'label': 'REAL'}
Fake_2,4,0.05123472213745117,200,{'label': 'REAL'}
Fake_2,5,0.05108189582824707,200,{'label': 'REAL'}
Fake_2,6,0.05100274085998535,200,{'label': 'REAL'}
Fake_2,7,0.05033397674560547,200,{'label': 'REAL'}
Fake_2,8,0.07552194595336914,200,{'label': 'REAL'}
Fake_2,9,0.05201101303100586,200,{'label': 'REAL'}
Fake_2,10,0.05152106285095215,200,{'label': 'REAL'}
